Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.Flight,Air.Carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Report.Status,Publication.Date
20150624X01443,Accident,GAA15CA134,2015-06-22,"Nampa, ID",United States,43.581111,-116.522778,MAN,NAMPA MUNI,Non-Fatal,Substantial,Airplane,UNREG,QUICKSILVER,MX,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Probable Cause,16/07/2019
20150622X43026,Accident,WPR15LA194,2015-06-21,"Five Points, CA",United States,36.429723,-120.103056,,N/A,Non-Fatal,Substantial,Airplane,N8598H,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164A,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,1,,VMC,TAKEOFF,Probable Cause,19/11/2015
20150701X71538,Accident,GAA15CA151,2015-06-21,"Andover, MN",United States,45.256944,-93.344444,,N/A,Non-Fatal,Substantial,Airplane,N799CT,FLIGHT DESIGN GMBH,CTLS,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,DESCENT,Probable Cause,23/11/2015
20150623X50951,Accident,GAA15CA132,2015-06-21,"Merrill, OR",United States,42.028889,-121.598333,NONE,Ervin Private Airstrip,Non-Fatal,Substantial,Airplane,N939RE,ERVIN REX H,BEAR HAWK,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,2,VMC,LANDING,Probable Cause,17/11/2015
20150622X23945,Accident,ERA15FA245,2015-06-21,"Holly Ridge, NC",United States,34.471389,-77.603333,01NC,TOPSAIL AIRPARK,Fatal(1),Substantial,Airplane,N35EP,CZECH SPORT AIRCRAFT AS,PIPER SPORT,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,TAKEOFF,Probable Cause,12/07/2017
20150629X52446,Accident,CEN15LA285,2015-06-21,"Danville, AR",United States,35.051667,-93.391389,,N/A,Non-Fatal,Substantial,Helicopter,N305CG,ROBINSON HELICOPTER COMPANY,R44 II,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,MANEUVERING,Probable Cause,03/10/2016
20150622X70018,Accident,CEN15LA279,2015-06-21,"Sheboygan, WI",United States,43.769723,-87.851667,KSBM,Sheboygan County Mem,Non-Fatal,Substantial,Airplane,N1168Z,MOONEY,M20K,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,IMC,TAKEOFF,Probable Cause,24/09/2015
20150630X50136,Accident,ANC15WA043B,2015-06-21,"Fort McMurray, Canada",Canada,,,,,Fatal(2),Substantial,Airplane,,CESSNA,185,,,Reciprocating,,,,,2,,,1,,UNKNOWN,Foreign,
20150630X50136,Accident,ANC15WA043A,2015-06-21,"Fort McMurray, Canada",Canada,,,,,Fatal(2),Substantial,Airplane,,CESSNA,172,,1,Reciprocating,,,,,2,,,1,,UNKNOWN,Foreign,
20150620X32952,Accident,WPR15LA193,2015-06-20,"Salinas, CA",United States,36.658889,-121.7075,,N/A,Fatal(1),Substantial,Helicopter,N4427F,BELL,47G 5,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,1,,,,IMC,MANEUVERING,Probable Cause,14/03/2018
20150620X25408,Accident,WPR15LA192,2015-06-20,"La Grande, OR",United States,45.287222,-118.003889,LGD,La Grande/Union County Airport,Non-Fatal,Substantial,Airplane,N92MJ,ROBERTS,SUPER BEAR,Yes,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,1,1,VMC,TAKEOFF,Probable Cause,14/12/2015
20160509X12552,Accident,GAA15CA302,2015-06-20,"Grants Pass, OR",United States,42.506389,-123.384166,3S8,GRANTS PASS,Non-Fatal,Substantial,Airplane,N90ND,AVIAT AIRCRAFT INC,A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,25/07/2016
20150707X05050,Accident,GAA15CA159,2015-06-20,"Oshkosh, WI",United States,43.984444,-88.575278,WS17,PIONEER,Non-Fatal,Substantial,Airplane,N242VA,VANS AIRCRAFT INC,RV-12,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,01/12/2015
20150622X71912,Accident,GAA15CA127,2015-06-20,"Concord, NH",United States,43.204167,-71.505,CON,CONCORD MUNI,Non-Fatal,Substantial,Gyrocraft,N485MP,PAQUIN MICHAEL A,A,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Probable Cause,13/11/2015
20150624X20401,Accident,ERA15WA247,2015-06-20,"Vaupes, Colombia",Colombia,5.733889,-76.994444,,N/A,Fatal(1),Destroyed,Airplane,,CESSNA,T303,No,,,"Non-U.S., Non-Commercial",,Unknown,,1,,2,,,,Foreign,
20160128X50658,Accident,CEN15LA451,2015-06-20,"Carthage, IN",United States,39.738333,-85.571945,IN81,SMALL FIELD,Non-Fatal,Substantial,Airplane,N17292,CESSNA,150L,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Probable Cause,16/05/2016
20150619X71456,Accident,WPR15LA191,2015-06-19,"Polson, MT",United States,47.705278,-114.191666,8S1,POLSON,Non-Fatal,Substantial,Airplane,N9699B,CESSNA,180A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,APPROACH,Probable Cause,19/11/2015
20150622X30313,Accident,GAA15CA129,2015-06-19,"Hampshire, IL",United States,42.148611,-88.561944,68IS,Casa de Aero Park Airport,Non-Fatal,Substantial,Airplane,N800TR,LANCAIR,ES - NO SERIES,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,12/08/2015
20150624X55528,Accident,ERA15LA249,2015-06-19,"Clearwater, FL",United States,27.899444,-82.686666,PIE,ST PETE-CLEARWATER INTL,Non-Fatal,Substantial,Airplane,N216RW,BEECH,B 55,No,2,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,14/12/2015
20150619X00546,Accident,CEN15FA278,2015-06-19,"Shreveport, LA",United States,32.538055,-93.746389,DTN,SHREVEPORT DOWNTOWN,Fatal(1),Substantial,Airplane,N5743A,CESSNA,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,TAKEOFF,Probable Cause,08/02/2016
20150618X45629,Accident,WPR15LA190,2015-06-18,"Yellow Pine, ID",United States,44.905556,-115.4875,3U2,JOHNSON CREEK,Non-Fatal,Substantial,Airplane,N6939K,PIPER,PA 20,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,TAKEOFF,Probable Cause,19/11/2015
20150622X32906,Accident,GAA15CA128,2015-06-18,"Long Beach, CA",United States,33.822778,-118.141944,LGB,LONG BEACH /DAUGHERTY FIELD/,Non-Fatal,Substantial,Airplane,N24022,BEECH,C23,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,APPROACH,Probable Cause,11/09/2015
20150624X93848,Accident,ERA15LA248,2015-06-18,"St. Augustine, FL",United States,29.959167,-81.339722,SGJ,NORTHEAST FLORIDA RGNL,Non-Fatal,Substantial,Airplane,N6553L,CESSNA,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,TAKEOFF,Factual,02/01/2020
20150618X01608,Accident,ERA15FA241,2015-06-18,"Laconia, NH",United States,43,-71,None,Private,Non-Fatal,Substantial,Airplane,N2569P,PIPER,PA-22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,TAKEOFF,Probable Cause,17/02/2016
20150619X14812,Accident,CEN15FA277,2015-06-18,"Taos, NM",United States,36.424167,105.673889,SKX,Taos Regional Airport,Fatal(1),Substantial,Ultralight,N51311,NORTHWING DESIGN,APACHE SPORT,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,TAKEOFF,Probable Cause,26/06/2017
20150618X01302,Accident,ERA15CA243,2015-06-17,"Moreland, GA",United States,31.233334,84.75,CCO,Newnan County Airport,Non-Fatal,Substantial,Airplane,N353DC,DIAMOND AIRCRAFT IND INC,DA 20 C1,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,APPROACH,Probable Cause,11/08/2015
20150616X85216,Accident,WPR15LA186,2015-06-16,"Washtucna, WA",United States,46.867223,-118.321389,WN72,Kinch Farms,Non-Fatal,Substantial,Airplane,N8420V,ROCKWELL INTERNATIONAL,S 2R,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,1,,,VMC,LANDING,Probable Cause,24/02/2017
20150625X05216,Accident,ERA15WA250,2015-06-16,"Ouro Preto, Minas Gerais, Brazil",Brazil,-20.549722,-43.491944,,N/A,Fatal(3),Destroyed,Helicopter,,BELL,206B,No,,,"Non-U.S., Non-Commercial",,Personal,,3,,,,,,Foreign,
20150729X83203,Incident,CEN15WA327,2015-06-16,"Kerry, Ireland, Ireland",Ireland,52.180556,-9.523611,EIKY,Kerry,Incident,,Airplane,N1310H,RAYTHEON CORPORATE JETS INC,BAE 125 800,No,2,Turbo Fan,Part 91: General Aviation,,Business,,,,,5,,TAKEOFF,Foreign,
20150618X03455,Accident,ERA15CA242,2015-06-15,"Kirkville, NY",United States,43.074167,-75.932223,NY72,POOLSBROOK AERODROME,Non-Fatal,Substantial,Airplane,N693MP,PENELL MARK A,RANS S-10 KIT,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,TAKEOFF,Probable Cause,08/10/2015
20150617X13043,Accident,WPR15WA188,2015-06-14,"Timber Creek, Australia, Australia",Australia,-16.518056,129.395,,,Fatal(1),Substantial,Helicopter,,ROBINSON,R44 - UNDESIGNAT,No,,Reciprocating,,,,,1,,,,,UNKNOWN,Foreign,
20150615X91500,Accident,GAA15CA122,2015-06-14,"Elk Mound, WI",United States,44.776389,-91.741944,,N/A,Non-Fatal,Substantial,Helicopter,N9045T,CONTINENTAL COPTERS INC.,TOMCAT MK5A,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,,1,VMC,TAKEOFF,Probable Cause,30/09/2015
20150709X35336,Accident,ERA15WA261,2015-06-14,"Brest, Belarus",Belarus,52.116667,23.883334,,N/A,Fatal(2),Destroyed,Airplane,,ILYUSHIN,IL-103,No,,Reciprocating,"Non-U.S., Non-Commercial",,Unknown,,2,,,,UNK,,Foreign,
20150616X50938,Accident,ERA15LA240,2015-06-14,"Pell City, AL",United States,33.558889,-86.249166,PLR,St. Clair County Airport,Non-Fatal,Substantial,Airplane,N1272W,WEATHERLY,201B,No,0,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,,1,VMC,LANDING,Preliminary,02/07/2015
20150616X94016,Accident,ERA15LA239,2015-06-14,"Dushore, PA",United States,41.520834,-76.462222,PA71,Dwight's Delight,Non-Fatal,Substantial,Airplane,N97505,STINSON,108,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,1,,VMC,TAKEOFF,Probable Cause,01/08/2016
20150615X54151,Accident,ERA15LA238,2015-06-14,"Palmyra, PA",United States,40.288333,-76.581389,58N,REIGLE FIELD,Non-Fatal,Substantial,Airplane,N732VN,CESSNA,T210,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Probable Cause,03/02/2016
20150615X10136,Accident,ERA15LA237,2015-06-14,"Hampton, NH",United States,42.968334,-70.828334,7B3,HAMPTON AIRFIELD,Non-Fatal,Substantial,Airplane,N43078,PIPER,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,TAKEOFF,Probable Cause,11/09/2018
20150615X62526,Accident,CEN15LA272,2015-06-14,"Van Horn, TX",United States,31.021945,-104.821389,,N/A,Non-Fatal,Substantial,Airplane,N4659N,WEATHERLY AVIATION CO INC,620A,No,,Reciprocating,Part 137: Agricultural,,Aerial Application,,,1,,,VMC,MANEUVERING,Probable Cause,14/12/2015
20150614X60334,Accident,CEN15FA269,2015-06-14,"Fredericksburg, TX",United States,30.234166,-98.9025,T82,Gillespie County Airport,Fatal(1),Substantial,Airplane,N6552L,GRUMMAN AMERICAN AVN. CORP.,AA-5,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,,,VMC,TAKEOFF,Probable Cause,16/05/2017
20150614X11108,Accident,CEN15FA268,2015-06-14,"Cuba, MO",United States,38.078334,-91.436944,UBX,CUBA MUNI,Fatal(1),Destroyed,Airplane,N2966X,PIPER,PA 32,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,IMC,,Probable Cause,09/06/2016
20150617X30910,Accident,CEN15CA274,2015-06-14,"Romeoville, IL",United States,41.607222,-88.0875,LOT,LEWIS UNIVERSITY,Non-Fatal,Substantial,Helicopter,N51778,ENSTROM,F 28C,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,LANDING,Probable Cause,06/10/2017
20150616X53414,Accident,ANC15CA040,2015-06-14,"Soldotna, AK",United States,60.475278,-151.041111,SXQ,SOLDOTNA,Non-Fatal,Substantial,Airplane,N2892Z,PIPER,PA 18A 150,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,TAKEOFF,Probable Cause,05/11/2015
20150615X12143,Accident,WPR15LA185,2015-06-13,"Moab, UT",United States,38.755,-109.754722,CNY,CANYONLANDS FIELD,Non-Fatal,Substantial,Airplane,N5143D,CESSNA,182A,No,1,Reciprocating,Part 91: General Aviation,,Skydiving,,,,,1,VMC,MANEUVERING,Probable Cause,16/07/2018
20150629X01239,Accident,GAA15CA142,2015-06-13,"Westminster, MD",United States,39.608611,-77.008056,DMW,CARROLL COUNTY RGNL/JACK B POA,Non-Fatal,Substantial,Airplane,N1248S,CESSNA,182P,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,3,VMC,LANDING,Probable Cause,29/07/2015
20150615X32357,Accident,GAA15CA121,2015-06-13,"Bozeman, MT",United States,45,-111,KBZN,Bozeman Yellowstone Internatio,Non-Fatal,Substantial,Airplane,N86SB,CESSNA,P210N,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,13/11/2015
20150616X52241,Accident,ANC15CA039,2015-06-13,"McCarthy, AK",United States,60.837777,-143.215,,N/A,Non-Fatal,Substantial,Airplane,N3897Z,PIPER,PA 18-150,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,08/02/2016
20160119X83344,Incident,DCA15WA210,2015-06-12,"Nauru, Nauru",Nauru,,,,Kosrae,Incident,,,,BOEING,737,No,,,"Non-U.S., Commercial",SCHD,,,,,,,,APPROACH,Foreign,
20150624X35258,Accident,CEN15LA280,2015-06-12,"Taylorville, IL",United States,39.533611,-89.323611,TAZ,TAYLORVILLE MUNI,Non-Fatal,Substantial,Airplane,N669CS,BEECH,G58,No,2,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,GO-AROUND,Probable Cause,06/11/2019
20150615X53251,Accident,CEN15LA271,2015-06-12,"Foster, NE",United States,42.273889,-97.664444,,N/A,Non-Fatal,Substantial,Airplane,N48687,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164B,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,1,,VMC,MANEUVERING,Probable Cause,21/10/2015
20150612X64657,Accident,CEN15FA267,2015-06-12,"Huggins, MO",United States,37.397777,-92.208333,PVT,Private,Fatal(4),Destroyed,Airplane,N3193W,BEECH,A36,No,1,Reciprocating,Part 91: General Aviation,,Personal,,4,1,,,VMC,TAKEOFF,Probable Cause,12/07/2016
20150615X00136,Accident,WPR15LA184,2015-06-11,"Sacramento, CA",United States,35.5125,-121.493333,SAC,SACRAMENTO EXECUTIVE,Non-Fatal,Substantial,Airplane,N508JA,ECLIPSE AVIATION CORP,EA500,No,2,Turbo Jet,Part 135: Air Taxi & Commuter,NSCH,,Nemly Aviation (DBA: Nemly Aviation),,,,4,VMC,TAXI,Probable Cause,11/09/2018
20150614X35207,Accident,WPR15LA183,2015-06-11,"Tucson, AZ",United States,32.446666,-111.002778,57AZ,LA CHOLLA AIRPARK,Non-Fatal,Substantial,Airplane,N8401N,BEECH,E33A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,05/03/2018
20150613X13604,Accident,GAA15CA120,2015-06-11,"Everett, WA",United States,47.910278,-122.285555,PAE,SNOHOMISH COUNTY (PAINE FLD),Non-Fatal,Substantial,Airplane,N585PB,BEECH,RC 45J,No,2,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,13/11/2015
20150616X33717,Accident,CEN15WA273,2015-06-11,"Kangirsuk, Canada",Canada,,,,,Fatal(3),Substantial,Airplane,,PIPER,PA-23-250,No,,,,,,,3,,,,,APPROACH,Foreign,
20150610X33242,Accident,WPR15FA181,2015-06-10,"Everett, WA",United States,47.891389,-122.284166,PAE,SNOHOMISH COUNTY (PAINE FLD),Fatal(1),Substantial,Airplane,N4224B,BEECH,F35,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,1,1,,,VMC,TAKEOFF,Probable Cause,03/05/2017
